Best,Active,Candidate
666902000,803305000,803305000
666902000,1011774100,1011774100
666902000,1382420000,1382420000
666902000,992773570,992773570
666902000,1045708000,1045708000
666902000,1534177500,1534177500
666902000,1337942500,1337942500
634988740,914365760,914365760
634988740,1066760200,1066760200
634988740,1113512300,1113512300
634988740,1995424000,1995424000
634988740,1087735400,1087735400
634988740,1101236200,1101236200
634988740,1033570900,1033570900
634988740,1169521700,1169521700
634988740,2340303400,2340303400
634988740,1448886400,1448886400
634958800,717094340,717094340
634958800,1023293630,1023293630
634958800,1009660350,1009660350
634958800,1048072700,1048072700
634958800,1447894300,1447894300
634958800,949408640,949408640
634958800,1065192400,1065192400
634958800,2408583700,2408583700
634958800,1526928600,1526928600
634958800,1793522700,1793522700
634958800,1279454700,1279454700
634958800,1180452600,1180452600
634958800,2080248000,2080248000
634958800,1820220300,1820220300
634958800,1341436900,1341436900
634958800,1346106500,1346106500
634958800,2466477800,2466477800
634958800,1568868400,1568868400
634958800,2287419000,2287419000
634958800,1059112770,1059112770
634958800,1399046500,1399046500
634958800,1116922900,1116922900
634958800,1224658200,1224658200
634958800,1220476300,1220476300
634958800,1133464200,1133464200
634958800,1152951700,1152951700
634958800,1188100000,1188100000
634958800,1011743550,1011743550
634958800,1411066800,1411066800
634958800,1131301100,1131301100
634958800,1011743300,1011743300
634958800,1019621000,1019621000
634958800,930113700,930113700
634958800,986165500,986165500
634958800,1303887100,1303887100
634958800,1173701900,1173701900
634958800,1213034100,1213034100
634958800,1261419800,1261419800
634958800,1410772600,1410772600
634958800,1647460000,1647460000
634958800,1637583100,1637583100
634958800,1302315600,1302315600
634958800,1287629400,1287629400
634958800,1047228800,1047228800
634958800,963533900,963533900
634958800,2069778300,2069778300
634958800,1069563800,1069563800
634958800,990502700,990502700
634958800,982701630,982701630
634958800,1107283600,1107283600
634958800,1282077200,1282077200
634958800,1246640600,1246640600
634958800,1069984600,1069984600
634958800,1287525100,1287525100
634958800,1567249800,1567249800
634958800,2368076500,2368076500
634958800,1108626600,1108626600
634958800,1150320300,1150320300
634958800,1820567000,1820567000
634958800,1099184400,1099184400
634958800,1080566300,1080566300
634958800,1098995500,1098995500
634958800,1428019000,1428019000
634958800,1354306800,1354306800
634958800,1320067800,1320067800
634958800,1290028300,1290028300
634958800,1075231600,1075231600
634958800,982967550,982967550
634958800,1013355500,1013355500
634958800,1452447000,1452447000
634958800,1150037800,1150037800
634958800,2256344300,2256344300
634958800,1044598800,1044598800
634958800,1313679100,1313679100
634958800,1495656700,1495656700
634958800,1339796100,1339796100
634958800,2240372200,2240372200
634958800,1942453000,1942453000
634958800,957087500,957087500
634958800,1293511000,1293511000
634958800,2137905800,2137905800
634958800,1166998400,1166998400
634958800,1258383700,1258383700
634958800,1074719000,1074719000
634958800,1186857300,1186857300
634958800,1013501500,1013501500
634958800,1017550660,1017550660
634958800,1046838500,1046838500
634958800,1117333200,1117333200
634958800,1473288800,1473288800
634958800,1258876700,1258876700
634958800,1263695900,1263695900
634958800,2210289400,2210289400
634958800,2059256800,2059256800
634958800,2385997300,2385997300
634958800,2149143800,2149143800
634958800,976936600,976936600
634958800,1133253800,1133253800
634958800,1062480400,1062480400
634958800,1038783300,1038783300
634958800,1038319500,1038319500
634958800,984727550,984727550
634958800,1041725950,1041725950
634958800,1201001300,1201001300
634958800,1564581000,1564581000
623629500,892884860,892884860
623629500,1080466000,1080466000
623629500,969858900,969858900
623629500,930998400,930998400
623629500,1484965000,1484965000
623629500,1035499460,1035499460
623629500,1049002200,1049002200
623629500,1056139900,1056139900
623629500,1487796000,1487796000
623629500,975046660,975046660
623629500,1437325700,1437325700
623629500,1506721200,1506721200
623629500,1130035000,1130035000
623629500,1136250400,1136250400
623629500,1071366600,1071366600
623629500,1021284200,1021284200
623629500,2068046800,2068046800
623629500,1043626900,1043626900
623629500,1015298000,1015298000
623629500,1156373600,1156373600
623629500,1255469200,1255469200
623629500,1018651970,1018651970
623629500,1020037760,1020037760
623629500,2635017200,2635017200
623629500,2301462800,2301462800
623629500,1351539100,1351539100
623629500,1737945900,1737945900
623629500,1266330600,1266330600
623629500,1012594600,1012594600
623629500,1205989600,1205989600
623629500,1504732700,1504732700
623629500,1686809500,1686809500
623629500,1193232900,1193232900
623629500,1221142100,1221142100
623629500,1178038800,1178038800
623629500,1097504800,1097504800
623629500,1269043500,1269043500
623629500,1201243100,1201243100
623629500,1359871100,1359871100
623629500,1138714100,1138714100
623629500,1158597800,1158597800
623629500,2137130800,2137130800
623629500,2143521800,2143521800
623629500,1085440000,1085440000
623629500,1089267300,1089267300
623629500,1202753400,1202753400
623629500,1245947000,1245947000
623629500,2404183000,2404183000
623629500,1554984200,1554984200
623629500,1303871600,1303871600
623629500,1259602800,1259602800
623629500,1015817600,1015817600
623629500,2409888500,2409888500
623629500,1146700800,1146700800
623629500,1036517700,1036517700
623629500,1539698400,1539698400
623629500,993924800,993924800
623629500,999781500,999781500
623629500,1032783100,1032783100
623629500,1397171700,1397171700
623629500,1003413600,1003413600
623629500,875075000,875075000
623629500,1067612740,1067612740
623629500,1448990500,1448990500
623629500,1237869200,1237869200
623629500,1702708200,1702708200
623629500,1017659200,1017659200
623629500,2136211700,2136211700
